domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Av. Pedro de Mendoza 2841;Barraca Merlo;Benito Quinquela Martín;c1924;5.10 x 5.85;Fachada;Mural Cerámico;Embarque de granos;-58.3605;-34.6461
Av. Pedro de Mendoza 2841;Barraca Merlo;Fortunato Lacámera;c1924;4.80 x 5;Fachada;Mural Cerámico;Calle de La Boca;-58.3605;-34.6461
Andonaegui 1532;"Escuela N° 27, De15, ""petronila Rodríguez""";Chiesa - Castagna - Baldini;1935;;Salón De Actos;Fresco;Descubrimiento de América;-58.4821;-34.5851
Av. Las Heras 3086;Escuela Herrera Vegas;Gerardo Cianciolo;2004;;Hall Acceso;Pintura Mural;La educación es un derecho;-58.4053;-34.5838
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""e.J.Sarniguet""";Oleo S/ Tela;Regreso de la pesca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;2.70 x 6.50;"Aula ""e.Sivori""";Oleo S/ Tela;La despedida;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""a.Alice""";Oleo S/ Tela;Cargadoras de naranjas en Corrientes;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6 x 2.70;"Aula ""l.C.Morales""";Oleo S/ Tela;Buzos en el fondo del mar;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6 x 2.70;"Aula ""f.Fader""";Oleo S/ Tela;Fogata de San Juan;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;5 x 2.60;"Aula ""j. Bermúdez""";Oleo S/ Tela;Inundación en La Boca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 3.00;"Aula ""p.Colivadino""";Oleo S/ Tela;La Boca en el año 1860;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""p.Z.Briano""";Oleo S/ Tela;Bendición de las barcas;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;9 x 3.00;Patio Cubierto;Oleo S/ Tela;Carnaval en La Boca;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;4.50 x 5.00;Patio Del 1° Piso;Oleo S/ Tela;Embarque de cereales;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 3.00;"Aula ""mendilamarzu""";Oleo S/ Tela;Mascarones;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;"Aula ""t. De Libian""";Oleo S/ Tela;Cargadores de carbón;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;9 x 3.00;Patio Cubierto;Mural Cerámico;El desfile del circo;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Benito Quinquela Martín;1936;6.50 x 2.70;Patio Cubierto;Mural Cerámico;Saludo a la Bandera;-58.3611;-34.6387
Av. Pedro de Mendoza 1835;Escuela Museo;Hebe Salvat;1936;1.96 x 1.05;Patio Del 1° Piso;Mural Cerámico;El angel campesino;-58.3611;-34.6387
California 1925;Esc. Tte. Gral. Rosendo Fraga;Gerardo Cianciolo;2001;;Fachada;Pintura Mural;Título desconocido;-58.3758;-34.6469
General Urquiza 277;Esc. Normal Superior Nº2  Mariano Acosta;Nazareno Orlandi;1910;;Salón De Actos;Marouflage (oleo Sobre Tela Pegado Al Cielorraso) ;Título desconocido;-58.41;-34.6137
Juan Agustín García 2755;"Escuela Nº7, De 17, ""república De México""";Benito Quinquela Martín;1941;;Hall ;Oleo Y Cera En Chapas De Celotex;Trabajo ;-58.4806;-34.6092
Julian Alvarez 2849;"Escuela Nº12, De1, ""gral. Las Heras""";Del Piero - Cárdenas;1999;8.00 x 10.00;;Esgrafiado;Título desconocido;-58.411;-34.5844
Mercedes 4002;"Esc.Em 3, De17, ""antonio Devoto""";Rodolfo Campodónico;1967;7.50 x 3.60;Salón De Actos;Oleo Sobre Tela;Título desconocido;-58.5125;-34.6006
Olavarría 486;Colegio San Juan Evangelista;Domingo Ianantuoni;1969;;Fachada;Mural Cerámico;Humanización al trabajo. Cristo en La Boca. Dignificación de la vida;-58.3593;-34.637
Presidente Luis Sáenz Peña 1215;"Esc Nº11, De 3 ""dr. Ricardo Gutiérrez""";Gerardo Cianciolo;2003;;Fachada;Pintura Mural;Homenaje a la escuela pública;-58.3876;-34.6227
Yerbal 2370;"Escuela Nº1, De 12 ""gral. Urquiza""";Raúl Soldi;1975;2 x 3;Patio Cubierto;Mural Cerámico;Santa Ana y la Virgen Niña imaginando sus sueños;-58.4627;-34.6278
Zabala 1837;Universidad De Belgrano;Pérez Celis;1997;;Hall ;Mural En Madera Y Acero Inoxidable;El camino del conocimiento;-58.444;-34.564
Brandsen 805;Club Atlético Boca Juniors;Rómulo Maccio;1999;;Frente/s Del Valle Ibarlucea;Esmalte Sintético S/ Paneles Metálicos;Alegorías;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Pérez Celis;1999;;Frente/s Del Valle Ibarlucea;Altorrelieve Con Mosaico Veneciano;Idolos;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Pérez Celis;1999;;Frente/s Del Valle Ibarlucea;Altorrelieve Con Mosaico Veneciano;Mito y destino;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Benito Quinquela Martín;1941;5 x 7;Hall De Entrada;Oleo S/ Aglomerado De Madera;El origen de los colores de la bandera de Boca;-58.3649;-34.6357
Brandsen 805;Club Atlético Boca Juniors;Gerardo Cianciolo / Marcelo Carpita;1994;;Frente S/brandsen;Pintura Mural;Dale Boca;-58.3649;-34.6357
Av. Figueroa Alcorta 7597;Club River Plate;Benito Quinquela Martín;1937;;Confitería Del Estadio;Oleo Sobre Madera;El campeón;-58.4494;-34.5467
Av. Figueroa Alcorta 7597;Club River Plate;Benito Quinquela Martín;1937;;Confitería Del Estadio;Oleo Sobre Madera;La primera cancha de River;-58.4494;-34.5467
Av. Alvarez Jonte 4767;Galeria Jonte;Juan Manuel Sánchez;1965;;Aceso;Pintura Mural;La familia;-58.5058;-34.6193
Av. Cabildo 2869;Cine Arteplex Belgrano, Ex Cine Savoy;Roberto Del Villano;1991;;Primer Piso;Pintura Mural;Homenaje al cine;-58.4618;-34.5556
Av. Corrientes 1145;Galería Del Obelisco;Juan Carlos Castagnino;1961;4 x 5;Acceso Por Av. Corrientes;Pintura Mural Al Óleo;Despertar en la llanura;-58.3829;-34.6035
Av. Corrientes 1369;Pizzería Los Inmortales;Carlos Leonetti;1955;;Salón;Pintura Mural;Gardel en la calle Corrientes;-58.3861;-34.6036
Av. Corrientes 1551;Librería Losada;Juan Carlos Castagnino;1941;3 x 6;Salón ;Fresco;Homenaje al cine;-58.3887;-34.6042
Av. Corrientes 1551;Librería Losada;César López Claro;1941;3 x 6;Salón;Fresco;Las artes;-58.3887;-34.6042
Av. La Plata 2428;Banco Credicoop;Demetrio Urruchúa;1965;;Salón De Entrada;Fresco;Título desconocido;-58.4223;-34.6431
Av. Rivadavia 4975;Galería París;Juan Carlos Castagnino;1959;5,50 x 6;Acceso Av. Rivadavia;Pintura Mural;Hombre - Espacio - Esperanza;-58.4362;-34.6174
Av. Rivadavia 4955;Galería Rivadavia;Anatolio Sokoloff;1956;;Bajo Claraboya Central;Oleo Sobre Tela;El puerto / El descubrimiento de América / La vida urbana;-58.4353;-34.6177
Av. Rivadavia 6836;Galería San José De Flores;Juan Carlos Castagnino;1956;;Cúpula;Fresco;La Fraternidad;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Juan Carlos Castagnino;1956;;Cúpula;Fresco;La Fertilidad;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Enrique Policastro;1956;;Cúpula;Fresco;La Pachamama;-58.4615;-34.6292
Av. Rivadavia 6836;Galería San José De Flores;Demetrio Urruchúa;1956;;Cúpula;Fresco;¡Oh, San José de Flores...;-58.4615;-34.6292
Av. Santa Fe 1660;Galería Santa Fe;Raúl Soldi;1954;18 x 19;Cúpula;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Luis Seoane;1954;;Bóveda Calle Lateral;Fresco;Los Músicos;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Gertrudis Chale;1954;;Sector M.T. De Alvear;Fresco;El indio;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Noemí Gerstein;1954;;Acceso Av. Santa Fe;Hierro Forjado;Los obreros;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Rodolfo Presas, Leopoldo Torres Agüero;1954;;Bóveda Posterior;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Lepoldo Torres Agüero ;1954;;Sector M.T. De Alvear;Mosaico Veneciano;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Leopoldo Torres Agüero;1954;;Acceso M.T. De Alvear;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1660;Galería Santa Fe;Juan Batlle Planas;1954;;Acceso Av. Santa Fe;Fresco;Título desconocido;-58.3909;-34.5965
Av. Santa Fe 1662;Galería Santa Fe;Raúl Soldi;c1950;;Local 3;Fresco;Los amantes;-58.3909;-34.5965
Av. Santa Fe 1860;Librería El Ateneo, Ex Cine Grand Splendid;Nazareno Orlandi;1919;;Salón Central;Marouflage (oleo Sobre Tela Pegado Al Cielorraso);Título desconocido;-58.3942;-34.5962
Florida 1005;Plaza Hotel;Jorge Soto Acébal, Mercedes Rodrigué;1930;;Resaurant La Brasserie;Fresco;Escenas del 900;-58.3748;-34.5959
Florida 753;Galerías Pacífico;Manuel Colmeiro;1946;;Cúpula;Fresco;La pareja humana o El amor maternal;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Demetrio Urruchúa;1946;;Cúpula;Fresco;La fraternidad;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Lino Enea Spilimbergo;1946;;Cúpula;Fresco;El dominio de las fuerzas naturales;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Juan Carlos Castagnino;1946;;Cúpula;Fresco;La vida doméstica o La ofrenda generosa de la Naturaleza;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Antonio Berni;1946;;Cúpula;Fresco;El amor o Germinación de la Tierra;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Carlos Alonso;1992;;;Acrílico S/soporte Rígido;Con los pies en la tierra;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Josefina Robirosa;1992;;;Oleo S/soporte Rígido;Otro tiempo;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Rómulo Macció;1992;;;Acrílico S/soporte Rígido;Florida ida y vuelta;-58.3754;-34.5993
Florida 753;Galerías Pacífico;Guillermo Roux;1992;;;Oleo S/soporte Rígido;Mujer y máscaras;-58.3754;-34.5993
Florida 971;Galería Larreta;Luis Seoane;1958;;Salón Central;Taracea De Mármoles;Título desconocido;-58.3749;-34.5967
Güemes 3657;La Peña Del Colorado;Marcelo Carpita;2001;4 x 4;Muro Frontal En Galería;Acrílico Para Exteriores;Título desconocido;-58.414;-34.5882
Av. Pedro de Mendoza 1795;Hospital Odontológico Infantil;Benito Quinquela Martín;1955;;Fachada;Mural Cerámico;La Boca del Riachuelo;-58.3602;-34.6388
Av. Belgrano 1746;Fundación Favaloro;Raúl Soldi;1994;;Hall De Acceso;Mural Cerámico;Concierto en el jardín;-58.3911;-34.6143
Av. San Martín 3175;Clínica Obra Social Perfumistas;Alberto Bruzzone;1970;;Hall De Acceso;Fresco;La familia;-58.4685;-34.6016
Av. Montes de Oca 40;Hospital De Niños Pedro Elizalde;Luis Felipe Noé;2006;;;Mural Con Pastillas De Vidrio;Ta - Te - Ti;-58.3776;-34.6289
Esteban De Luca 2151;Maternidad Sardá;Jorge Estomba;1973;;Hall;Pintura Mural;El Espacio;-58.4025;-34.6348
Esteban De Luca 2151;Maternidad Sardá;Jorge Estomba;1973;;Hall;Pintura Mural ;La Tierra;-58.4025;-34.6348
Arenales 3768;Vivienda Multifamiliar ;Juan Batlle Planas;1964;3.25 x 10.50;Hall;Fresco;Título desconocido;-58.4149;-34.585
Azcuénaga 1074;Vivienda Multifamiliar ;Luis Seoane;;;Hall;Pintura Mural;título desconocido;-58.4002;-34.5956
Av. Cabildo 563;Viivenda Multifamiliar;Ponciano Cárdenas Canedo;1970;;;Mural Cerámico;Imágenes de mi tierra;-58.4423;-34.5708
Av. Callao 1421;Vivienda Multifamiliar ;Luis Seoane;1956;;Hall;Pintura Mural;Músicos y labradores;-58.3923;-34.5927
Av. Callao 2050;Vivienda Multifamiliar ;Carlos Alonso;1964;6 x 2;Acceso A Garage;Mural Cerámico;Jugando con mariposas;-58.3868;-34.5869
Av. Corrientes 2133;Vivienda Multifamiliar ;Luis Seoane;1972;;Acceso A Garage;Relieve;Título desconocido;-58.3973;-34.6042
Av. De Los Incas 3390;Vivienda Multifamiliar ;Luis Seoane;1971;2 x 5;Hall De Entrada;Oleo;Marisqueras;-58.4613;-34.5735
Av. Del Libertador 5266;Vivienda Multifamiliar ;Susana Fedrano, Rubén Manzo;1973;4 x 2.50;Hall;Relieve En Bronce Y Cobre;Puente;-58.4409;-34.5629
Av. Juan B. Justo 2720;Vivienda Multifamiliar ;Antonio Berni;1943;;Hall;Fresco;Título desconocido;-58.4457;-34.5959
Av. Juan B. Justo 2720;Vivienda Multifamiliar ;Demetrio Urruchúa;1943;;Hall;Fresco;Título desconocido;-58.4457;-34.5959
Av. Pte. Roque Sáenz Peña 950;Oficinas;Roberto Mattiello;1962;4.00 x 10.00;Hall;Altorrelieve En Yeso Y Cobre;Título desconocido;-58.3803;-34.6045
Av. Rivadavia 2031;Vivienda Multifamiliar ;Eduardo Rodríguez Ortega;1905;irregular;Fachada;Relieve;La Casa de los Lirios;-58.3954;-34.6092
Av. Rivadavia 3320;Vivienda Multifamiliar ;Virginio Colombo;1912;;Hall;Mosaico De Vidrios Pintados;Orfeo;-58.4134;-34.6109
Av. Rivadavia 3320;Vivienda Multifamiliar ;Virginio Colombo;1912;;Hall;Mosaico De Vidrios Pintados;Salomé;-58.4134;-34.6109
Av. Rivadavia 6140;Vivienda Multifamiliar ; Pérez Celis;1962;;Hall;Altorrelieve;Fuerza - América;-58.4526;-34.6257
Av. Rivadavia 6740;Vivienda Multifamiliar ;Roberto Obarrio;1965;;Hall;Cerámica Y Ladrillo De Máquina;Título desconocido;-58.4603;-34.6286
Av. Santa Fe 3952;Viivenda Multifamiliar;Luis Falcini;1951;;Hall;Relieve;El desarrolllo macional;-58.4197;-34.5834
French 2778;Vivienda Multifamiliar ;Luis Seoane;1959;;Hall;Pintura Mural Con Resinas Sintéticas;Jinetes;-58.403;-34.5889
Junín 309;Vivienda Multifamiliar ;Carlos Sessano;1964;;Hall;Mural Cerámico;Tres niñios;-58.3965;-34.6057
Hipólito Yrigoyen 2562;Vivienda Multifamiliar ;Virginio Colombo / escultor E. Passina;1912;;Fachada ;Altorrelieves;Sin título;-58.4027;-34.6115
Juramento 2120;Vivienda Multifamiliar ;Luis Seoane;1958;;Hall;Pintura Mural;El carro de la luna / escenas de tauromaquia / Figuras;-58.4539;-34.5607
La Pampa 1924;Vivienda Multifamiliar ;Orlando Pierri;1967;;Hall;Mural Cerámico;Barcas;-58.4497;-34.5624
La Pampa 2088;Vivienda Multifamiliar ;Juan Batlle Planas;1965;;;Pintura Mural;Personajes, La guitarra;-58.4512;-34.5631
Larrea 790;Vivienda Multifamiliar ;Oscar Capristo;1962;;Hall;Mural Cerámico;Plenitud;-58.4027;-34.5994
Luis Sáenz Peña 274;Vivienda Multifamiliar ;Julián García;1911;;Fachada;Mural Cerámico;Sin título;-58.3873;-34.612
Machain 3553;Vivienda Individual;Ariosto Otero;2003;9,40 x 4;Medianera Fondo De La Viv.;Esgrafiado;Los mitos;-58.4864;-34.5597
Montevideo 1920;Vivienda Multifamiliar ;Luis Seoane;1956;5 x 2,50;Hall;Cerámica Y Resinas Sintéticas;Las carretas;-58.3849;-34.5883
Montevideo 1985;Vivienda Multifamiliar ;Luis Seoane;;;Hall;;;-58.384;-34.5881
República Arabe Siria 2637;Vivienda Multifamiliar ;Antonio Berni;;;Hall;Pintura Mural;;-58.4156;-34.5838
Olazabal 3340;Vivienda Individual;Luis Seoane;1954;;Interior;Piedra Picada Reconstituida;Sin título;-58.4673;-34.5658
Paraguay 1269;Vivienda Multifamiliar ;Juan Manuel Sánchez;1983;;Hall;Pintura Mural;Seis mujeres;-58.3851;-34.5979
Paraguay 1307;Vivienda Multifamiliar ;Juan Carlos Castagnino;1959;;Hall;Pintura Mural;Título desconocido;-58.3858;-34.598
Paraguay 1330;La Casa De Los Azulejos;Pío Pinzauti;1911;;Fachada;Mural Cerámico;Escenas pastoriles;-58.3859;-34.5985
Paso 684;Vivienda Multifamiliar ;Julián García;1910;;Fachada;Altorrelieves;Sin título;-58.4036;-34.6012
Tres de Febrero 1479;Vivienda Multifamiliar ;Susana Fedrano, Rubén Manzo;1973;;Hall;Relieve En Bronce Y Cobre;Hombre temporal;-58.4468;-34.5651
Urquiza 41;Vivienda Multifamiliar ;Antonio Berni;1936;3 x 3;Hall;Fresco;Alegorias de la Ciudad Moderna;-58.4105;-34.6109
Urquiza 41;Vivienda Multifamiliar ;Antonio Berni;1936;3 x 3;Hall;Fresco;Alegorias de la Ciudad Moderna;-58.4105;-34.6109
Viamonte 2040;Vivienda Multifamiliar ;Adolfo De Ferrari;c1950;;Hall;Mural Cerámico;Título desconocido;-58.3962;-34.6012
Viamonte 2660;Vivienda Multifamiliar ;Juan Carlos Castagnino;1947;2 x 1.50;Hall;Fresco;Título desconocido;-58.4041;-34.6012
Viamonte 867;Oficinas;Lino Enea Spilimbergo;1955;2.00 x 2.00;Hall;Pintura Mural;Alegoría;-58.3791;-34.5998
Av. Federico Lacroze 4183;Estacción Lacroze, Ex Ffcc Urquiza;Luis Perlotti;1934;1,50 x 8;Hall;Altorelieve;El progreso de la Mesopotamia;-58.4551;-34.5871
Somellera y M. Leguizamón;Est. Lugano Fcg.M.Belgrano;Héctor Rapisarda;1992;;Fachada;Pintura Mural;El tren lechero;-58.4773;-34.677
Somellera y M. Leguizamón;Est. Lugano Fcg.M.Belgrano;Héctor Rapisarda;1992;;Fachada;Pintura Mural;La llegada de los inmigrantes;-58.4773;-34.677
Av. Almirante Brown 735;Edificio Industrial;Taller mural Qunqa, Centro de Est. IUNA;2002;2 x 3;Fachada;Pintura Mural;Por pan y por trabajo;-58.3619;-34.6315
Av. Almirante Brown 38;;Omar Gasparini;1999;;Fachada;Técnica Mixta;Entrada a La Boca;-58.3673;-34.6273
Av. Belgrano y Piedras;Plaza Belgrano;"Nilda Noemí ""Munú"" Actis Goretta y col.";1994;;Muro Divisorio;Pintura Mural;A nuestros hermanos de América;-58.3776;-34.6129
Av. de Mayo y Bernardo de Irigoyen;Edificio De Viviendas;Alfredo Segatori (Pelado);2001;;Fachada Frente;Pintura Mural;La ciudad contra la pared;-58.3807;-34.609
Av.Garay y Av. Paseo Colón;;Taller Muralista de la UTE;2001;20 x 5;Medianera;Pintura Mural;Mural Educación o Esclavitud;-58.3681;-34.6241
Av. Independencia y Av. Paseo Colón;Plazoleta Edmundo Rivero;"Nilda Noemí ""Munú"" Actis Goretta y col.";1993;;Medianera;Pintura Mural;Tango;-58.3687;-34.617
Av. Independencia y Av. Paseo Colón;Plaz. Edmundo Rivero;Eduardo Nalé / Jorge Muscia;1990;;Medianera;Pintura Mural;Título desconocido;-58.3687;-34.617
Av. La Plata 2193;Fachada Esq. Av. La Plata Y Pasaje Butteler;Carlos Terríbili;1998;;Fachada;Pintura Mural;Enrique Santos Discépolo;-58.4238;-34.64
Av. Paseo Colón 1250;"Ex Centro ""el Atlético""";Grupo Tótem;1995;;Columna Autopista;Esmalte Sintético, Figuras En Hierro;Homenaje a los desaparecidos;-58.3671;-34.6221
Av. Pedro de Mendoza 1629;Ex Proveeduría Del Sur;Vincent Walter;c1980;15 x 2;Fachada;Relieve En Cemento;Trabajo;-58.3576;-34.6385
Av. Pedro de Mendoza 2002;;Cristina Terzaghi;1999;4 x 19;Fachada;Mural Esgrafiado;Homenaje a La Boca;-58.3617;-34.6402
Av. San Juan 455;Garage Comercial;Diego Perrotta;2005;;Fachada;Pintura Mural;San Telmo, qué hay de nuevo;-58.3722;-34.6216
Av. San Juan 455;Garage Comercial;Naso;2004;;Fachada;Pintura Mural;San Telmo, qué hay de nuevo;-58.3722;-34.6216
Brandsen 350;B/puente N.Avellaneda;Grupo Esteban Ferreira;1992;;;Pintura Mural;Periodistas - La filmación;-58.3585;-34.6342
California y Gral. Hornos;Autopista 9 De Julio;Taller Muralista de la UTE;2001;irregular;Plano Inclinado Autopista;Pintura Mural;Mural por Trabajo, Dignidad y Cambio Social;-58.3743;-34.647
Coronel Apolinario Figueroa 600;Edificio Industrial;Alumn. de Esc. Prilidiano Pueyrredón;1984;3,49 x 7,77;Fachada;Pintura Mural;Guernica;-58.4481;-34.6061
Defensa 573;Sobre Línea Oficial De Edifcación;Alberto Arregui, alumn.Esc.Pueyrredón;1991;5 x 2;S/línea Municipal;Esmalte Sintético S/chapa;Homenaje al Rotary de San Telmo;-58.3721;-34.6146
Hernandarias 845;Edificio Industrial;Vincent Walter;1980;3 x 2;Fachada;Altorrelieve En Cemento Coloreado;"Transporte ""José Beraldi S.A.""";-58.3682;-34.6368
Hernandarias 845;Edificio Industrial;Vincent Walter;1980;3 x 2;Fachada;Altorrelieve En Cemento Coloreado;La fiesta;-58.3682;-34.6368
Perú y Chile;Plazoleta Rodolfo Walsh;;1990;;Muro Divisorio;Pintura Mural;En recuerdo de la masacre de Trelew;-58.3745;-34.6161
Pinzón 567;;Vincent Walter;1989;3 x 2;Fachada;Altorrelieve En Cemento Coloreado;Caminito;-58.3624;-34.6344
San Lorenzo y Balcarce;Fachada;Giampietro / Jaime / Nola;1995;15 x 2;Muro Línea Municipal;Pintura Mural;Título desconocido;-58.3703;-34.6166
Uspallata 2802;Fachada;Grupo Muralista de Ricardo Villar;1996;740 m2;Fachadas;Pintura Mural;Escena urbana;-58.4023;-34.6396
